Value,Count,Numeric
"copenhagen, capital region, denmark","643,109",643109
"birmingham, alabama, united states","639,431",639431
"richmond, virginia, united states","628,662",628662
"calcutta, west bengal, india","617,363",617363
"albuquerque, new mexico, united states","615,318",615318
"colorado springs, colorado, united states","613,171",613171
"cape town, western cape, south africa","596,741",596741
"el paso, texas, united states","594,358",594358
"fresno, california, united states","590,250",590250
"calgary, alberta, canada","587,776",587776
"west palm beach, florida, united states","586,423",586423
"hartford, connecticut, united states","556,143",556143
"toronto, ontario, canada","554,996",554996
"i̇stanbul, istanbul, turkey","542,133",542133
"dayton, ohio, united states","541,928",541928
"brussels, brussels hoofdstedelijk gewest, belgium","538,662",538662
"lisbon, lisbon, portugal","533,990",533990
"perth, western australia, australia","532,928",532928
"saint paul, minnesota, united states","530,567",530567
"grand rapids, michigan, united states","528,337",528337
"montreal, canada","527,699",527699
"salvador, bahia, brazil","527,274",527274
"new orleans, louisiana, united states","526,568",526568
"greensboro, north carolina, united states","513,608",513608
"rotterdam, zuid-holland, netherlands","496,997",496997
"baton rouge, louisiana, united states","496,527",496527
"bellevue, washington, united states","493,321",493321
"zurich, zurich, switzerland","484,421",484421
"mesa, arizona, united states","480,340",480340
"ahmadabad, gujarat, india","480,209",480209
"wichita, kansas, united states","478,478",478478
"peking, beijing, china","469,367",469367
"manchester, manchester, united kingdom","466,709",466709
"oslo, oslo, norway","461,237",461237
"knoxville, tennessee, united states","459,282",459282
"lyon, auvergne-rhône-alpes, france","453,565",453565
"campinas, sao paulo, brazil","448,551",448551
"columbia, south carolina, united states","446,737",446737
"fortaleza, ceará, brazil","445,402",445402
"berlin, berlin, germany","437,468",437468
"bakersfield, california, united states","435,329",435329
"toledo, ohio, united states","433,050",433050
"madison, wisconsin, united states","427,166",427166
"munich, bavaria, germany","423,991",423991
"utrecht, utrecht, netherlands","422,763",422763
"gurgaon, haryana, india","422,388",422388
"stockholm, stockholms lan, sweden","420,115",420115
"spokane, washington, united states","419,205",419205
"norfolk, virginia, united states","416,868",416868
"antwerp, antwerpen, belgium","415,090",415090
"tallahassee, florida, united states","405,827",405827
"goiânia, goias, brazil","397,855",397855
"riverside, california, united states","395,430",395430
"greenville, south carolina, united states","395,211",395211
"long beach, california, united states","393,573",393573
"the hague, zuid-holland, netherlands","393,059",393059
"providence, rhode island, united states","392,840",392840
"recife, pernambuco, brazil","389,058",389058
"oakland, california, united states","388,609",388609
"kuala lumpur, kuala lumpur, malaysia","383,862",383862
"albany, new york, united states","383,648",383648
"lexington, kentucky, united states","382,595",382595
"honolulu, hawaii, united states","381,763",381763
"edmonton, alberta, canada","374,867",374867
"virginia beach, virginia, united states","373,150",373150
"arlington, texas, united states","372,327",372327
"montréal, quebec, canada","367,769",367769
"des moines, iowa, united states","365,346",365346
"little rock, arkansas, united states","364,699",364699
"hollywood, florida, united states","361,823",361823
"boise, idaho, united states","359,936",359936
"auckland, auckland, new zealand","359,017",359017
"cologne, nordrhein-westfalen, germany","358,052",358052
"bangkok, krung thep, thailand","357,370",357370
"fort wayne, indiana, united states","355,808",355808
"durban, kwazulu-natal, south africa","355,545",355545
"vancouver, canada","353,113",353113
"sarasota, florida, united states","349,590",349590
"syracuse, new york, united states","343,842",343842
"charleston, south carolina, united states","336,883",336883
"thane, maharashtra, india","336,078",336078
"marietta, georgia, united states","335,782",335782
"stockton, california, united states","335,462",335462
"savannah, georgia, united states","333,756",333756
"district of columbia, district of columbia, united states","332,573",332573
"valencia, comunidad valenciana, spain","332,348",332348
"staten island, new york, united states","330,199",330199
"frankfurt am main, hesse, germany","329,861",329861
"reno, nevada, united states","329,849",329849
"newark, new jersey, united states","323,238",323238
"scottsdale, arizona, united states","323,022",323022
"fayetteville, north carolina, united states","320,456",320456
"pensacola, florida, united states","320,094",320094
"tacoma, washington, united states","313,944",313944
"jersey city, new jersey, united states","312,673",312673
"fort myers, florida, united states","312,382",312382
"irvine, california, united states","309,720",309720
"gainesville, florida, united states","309,373",309373
"moscow, moscow city, russia","308,616",308616
"springfield, missouri, united states","308,499",308499
"lincoln, nebraska, united states","308,494",308494
"bedminster, new jersey, united states","308,222",308222
"anchorage, alaska, united states","307,455",307455
"adelaide, south australia, australia","304,625",304625
"anaheim, california, united states","304,583",304583
"florianópolis, santa catarina, brazil","303,071",303071
"mobile, alabama, united states","300,287",300287
"boca raton, florida, united states","294,304",294304
"naples, florida, united states","292,175",292175
"lakeland, florida, united states","292,081",292081
"harrisburg, pennsylvania, united states","289,170",289170
"pompano beach, florida, united states","288,584",288584
"manaus, amazonas, brazil","286,176",286176
"turin, piedmont, italy","285,462",285462
"vancouver, british columbia, canada","285,325",285325
"birmingham, birmingham, united kingdom","284,422",284422
"vancouver, washington, united states","284,053",284053
"bristol, bristol, united kingdom","283,302",283302
"glasgow, glasgow city, united kingdom","283,028",283028
"park, kansas, united states","282,247",282247
"nijmegen, gelderland, netherlands","281,315",281315
"akron, ohio, united states","279,912",279912
"glendale, arizona, united states","278,828",278828
"corpus christi, texas, united states","278,526",278526
"chattanooga, tennessee, united states","278,318",278318
"allentown, pennsylvania, united states","277,472",277472
"durham, north carolina, united states","275,214",275214
"marseille, provence-alpes-cote d'azur, france","274,909",274909
"santa ana, california, united states","273,388",273388
"middletown, new jersey, united states","271,653",271653
"plano, texas, united states","271,040",271040
"eindhoven, noord-brabant, netherlands","269,884",269884
"modesto, california, united states","267,090",267090
"huntsville, alabama, united states","262,615",262615
"gautam buddha nagar, uttar pradesh, india","262,539",262539
"hamburg, hamburg, germany","260,087",260087
"lille, hauts-de-france, france","258,807",258807
"naples, campania, italy","256,946",256946
"augusta, georgia, united states","256,611",256611
"lubbock, texas, united states","256,449",256449
"puebla, puebla, mexico","254,680",254680
"lahore, punjab, pakistan","251,261",251261
"jaipur, rajasthan, india","250,806",250806
"lansing, michigan, united states","250,691",250691
"montgomery, alabama, united states","249,438",249438
"melbourne, florida, united states","249,201",249201
"wilmington, delaware, united states","248,706",248706
"alexandria, virginia, united states","242,386",242386
"toulouse, occitanie, france","240,131",240131
"fort collins, colorado, united states","240,103",240103
"gent, oost-vlaanderen, belgium","239,923",239923
"lafayette, louisiana, united states","238,956",238956
"ocala, florida, united states","238,582",238582
"san bernardino, california, united states","237,948",237948
"jackson, mississippi, united states","237,200",237200
"mountain view, california, united states","236,183",236183
"schenectady, new york, united states","235,888",235888
"naucalpan, mexico, mexico","235,828",235828
"nantes, pays de la loire, france","234,643",234643
"eugene, oregon, united states","234,105",234105
"aurora, colorado, united states","233,878",233878
"guadalajara, jalisco, mexico","232,975",232975
"tempe, arizona, united states","232,507",232507
"lawrenceville, georgia, united states","231,992",231992
"chandler, arizona, united states","229,752",229752
"henderson, nevada, united states","228,856",228856
"arlington, virginia, united states","228,821",228821
"sioux falls, south dakota, united states","227,201",227201
"guarulhos, sao paulo, brazil","226,990",226990
"kalamazoo, michigan, united states","226,900",226900
"irving, texas, united states","226,332",226332
"coimbatore, tamil nadu, india","225,432",225432
"belfast, belfast, united kingdom","225,030",225030
"kissimmee, florida, united states","223,750",223750
"evansville, indiana, united states","222,848",222848
"hialeah, florida, united states","220,544",220544
"nezahualcoyotl, mexico, mexico","220,259",220259
"springfield, massachusetts, united states","219,772",219772
"fremont, california, united states","219,592",219592
"wilmington, north carolina, united states","217,132",217132
"lancaster, pennsylvania, united states","216,928",216928
"noida, uttar pradesh, india","216,334",216334
"reading, pennsylvania, united states","216,091",216091
"st. louis, missouri, united states","215,988",215988
"littleton, colorado, united states","215,108",215108
"mississauga, ontario, canada","214,150",214150
"sevilla, andalucia, spain","213,824",213824
"amarillo, texas, united states","213,011",213011
"worcester, massachusetts, united states","211,495",211495
"belem, para, brazil","211,017",211017
"silver spring, maryland, united states","210,814",210814
"erie, pennsylvania, united states","208,469",208469
"joinville, santa catarina, brazil","208,353",208353
"columbus, georgia, united states","207,999",207999
"provo, utah, united states","207,864",207864
"rockford, illinois, united states","207,820",207820
"murcia, murcia, spain","206,276",206276
"clearwater, florida, united states","205,865",205865
"macon, georgia, united states","205,457",205457
"sandwell, sandwell, united kingdom","205,319",205319
"tokyo, tokyo, japan","205,241",205241
"ribeirão preto, sao paulo, brazil","204,734",204734
"stuttgart, baden-wurttemberg, germany","204,118",204118
"trenton, new jersey, united states","203,199",203199
"ottawa, canada","202,294",202294
"green bay, wisconsin, united states","201,310",201310
"santa barbara, california, united states","199,903",199903
"alpharetta, georgia, united states","199,228",199228
"bradenton, florida, united states","198,261",198261
"são josé dos campos, sao paulo, brazil","198,234",198234
"york, pennsylvania, united states","196,657",196657
"columbia, missouri, united states","196,346",196346
"bordeaux, nouvelle-aquitaine, france","195,479",195479
"reading, reading, united kingdom","195,468",195468
"waterbury, connecticut, united states","193,970",193970
"dekalb, georgia, united states","193,657",193657
"ann arbor, michigan, united states","192,088",192088
"queretaro, queretaro de arteaga, mexico","191,044",191044
"salem, oregon, united states","190,727",190727
"spring, texas, united states","190,484",190484
"sorocaba, sao paulo, brazil","190,409",190409
"saginaw, michigan, united states","188,911",188911
"topeka, kansas, united states","187,500",187500
"lakhnau, uttar pradesh, india","187,341",187341
"chesapeake, virginia, united states","187,317",187317
"indore, madhya pradesh, india","186,409",186409
"peoria, illinois, united states","185,735",185735
"clarksville, tennessee, united states","184,996",184996
"são bernardo do campo, sao paulo, brazil","184,842",184842
"garland, texas, united states","184,463",184463
"beverly hills, california, united states","183,996",183996
"fairfax, virginia, united states","183,338",183338
"youngstown, ohio, united states","183,231",183231
"daytona beach, florida, united states","183,196",183196
"helsinki, uusimaa, finland","182,727",182727
"canton, ohio, united states","182,038",182038
"saint petersburg, florida, united states","181,861",181861
"ecatepec, mexico, mexico","181,813",181813
"bilbao, basque country, spain","181,313",181313
"shreveport, louisiana, united states","181,038",181038
"chandigarh, chandigarh, india","179,963",179963
"beaverton, oregon, united states","179,344",179344
"new haven, connecticut, united states","177,476",177476
"ankara, ankara, turkey","177,206",177206
"tyler, texas, united states","177,203",177203
"monterrey, nuevo leon, mexico","176,596",176596
"campo grande, mato grosso do sul, brazil","174,975",174975
"cardiff, cardiff, united kingdom","174,885",174885
"pasadena, california, united states","173,979",173979
"asheville, north carolina, united states","173,951",173951
"nagpur, maharashtra, india","173,636",173636
"hayward, california, united states","173,587",173587
"goteborg, vastra gotaland, sweden","172,876",172876
"athens, georgia, united states","172,628",172628
"naperville, illinois, united states","172,195",172195
"santa rosa, california, united states","171,711",171711
"sheffield, sheffield, united kingdom","171,576",171576
"overland park, kansas, united states","170,117",170117
"vadodara, gujarat, india","169,882",169882
"roanoke, virginia, united states","168,995",168995
"edinburgh, edinburgh, united kingdom","168,707",168707
"torrance, california, united states","168,130",168130
"orange, california, united states","168,091",168091
"montpellier, occitanie, france","167,251",167251
"sunnyvale, california, united states","167,150",167150
"fayetteville, arkansas, united states","166,891",166891
"bloomington, indiana, united states","166,852",166852
"huntington beach, california, united states","166,562",166562
"oxford, oxfordshire, united kingdom","166,003",166003
"corona, california, united states","165,766",165766
"santa clara, california, united states","165,621",165621
"toluca, mexico, mexico","165,173",165173
"cedar rapids, iowa, united states","164,899",164899
"londrina, parana, brazil","164,758",164758
"ottawa, ontario, canada","164,536",164536
"herndon, virginia, united states","164,119",164119
"chula vista, california, united states","164,027",164027
"brighton, brighton and hove, united kingdom","163,631",163631
"gilbert, arizona, united states","163,462",163462
"santo andré, sao paulo, brazil","163,375",163375
"taipei city, taiwan, taiwan","162,940",162940
"boulder, colorado, united states","162,787",162787
"portland, maine, united states","162,277",162277
"richardson, texas, united states","161,510",161510
"nice, provence-alpes-cote d'azur, france","161,501",161501
"midland, texas, united states","161,118",161118
"natal, rio grande do norte, brazil","160,133",160133
"yonkers, new york, united states","159,973",159973
"apeldoorn, gelderland, netherlands","159,923",159923
"surat, gujarat, india","159,871",159871
"newport news, virginia, united states","159,832",159832
"bologna, emilia-romagna, italy","159,618",159618
"springfield, illinois, united states","159,461",159461
"waco, texas, united states","158,258",158258
"leeds, leeds, united kingdom","157,299",157299
"jamaica, new york, united states","157,190",157190
"lancaster, california, united states","157,002",157002
"winnipeg, manitoba, canada","156,688",156688
"ashburn, virginia, united states","156,388",156388
"bridgeport, connecticut, united states","156,314",156314
"newark, delaware, united states","156,103",156103
"veracruz, veracruz-llave, mexico","156,015",156015
"cambridge, massachusetts, united states","155,665",155665
"killeen, texas, united states","155,219",155219
"guildford, surrey, united kingdom","154,920",154920
"almere stad, flevoland, netherlands","154,833",154833
"bursa, bursa, turkey","154,775",154775
"caracas, capital, venezuela","154,157",154157
"cape coral, florida, united states","153,793",153793
"nottingham, nottingham, united kingdom","153,529",153529
"brugge, west-vlaanderen, belgium","153,389",153389
"davenport, iowa, united states","153,021",153021
"newcastle upon tyne, newcastle upon tyne, united kingdom","152,599",152599
"everett, washington, united states","152,296",152296
"flint, michigan, united states","152,092",152092
"visalia, california, united states","151,650",151650
"visakhapatnam, andhra pradesh, india","151,458",151458
"englewood, colorado, united states","150,901",150901
"zapopan, jalisco, mexico","150,755",150755
"enschede, overijssel, netherlands","150,354",150354
"scranton, pennsylvania, united states","150,161",150161
"winston salem, north carolina, united states","149,931",149931
"rockville, maryland, united states","149,911",149911
"fargo, north dakota, united states","149,609",149609
"salinas, california, united states","149,372",149372
"lopez mateos, mexico, mexico","148,231",148231
"myrtle beach, south carolina, united states","147,768",147768
"decatur, georgia, united states","147,708",147708
"oceanside, california, united states","147,004",147004
"malaga, andalucia, spain","146,756",146756
"denton, texas, united states","146,619",146619
"panama city, florida, united states","146,326",146326
"burbank, california, united states","145,954",145954
"uberlândia, minas gerais, brazil","145,195",145195
"mcallen, texas, united states","145,142",145142
"lake worth, florida, united states","143,629",143629
"van nuys, california, united states","143,576",143576
"paterson, new jersey, united states","143,344",143344
"laredo, texas, united states","143,155",143155
"caxias do sul, rio grande do sul, brazil","143,056",143056
"katy, texas, united states","142,930",142930
"charleston, west virginia, united states","142,796",142796
"stamford, connecticut, united states","142,768",142768
"cuiaba, mato grosso, brazil","142,327",142327
"glendale, california, united states","142,248",142248
"kansas city, kansas, united states","142,066",142066
"cambridge, cambridgeshire, united kingdom","141,875",141875
"tuscaloosa, alabama, united states","141,660",141660
"saint charles, missouri, united states","141,372",141372
"olympia, washington, united states","141,230",141230
"bellingham, washington, united states","140,150",140150
"boynton beach, florida, united states","140,008",140008
"florence, tuscany, italy","139,688",139688
"joão pessoa, paraíba, brazil","139,460",139460
"rochester, minnesota, united states","139,304",139304
"osasco, sao paulo, brazil","139,137",139137
"billings, montana, united states","138,614",138614
"bucharest, bucuresti, romania","138,600",138600
"macomb, michigan, united states","138,511",138511
"northampton, northamptonshire, united kingdom","138,434",138434
"san mateo, california, united states","138,289",138289
"pueblo, colorado, united states","137,148",137148
"manassas, virginia, united states","137,101",137101
"murfreesboro, tennessee, united states","137,092",137092
"aberdeen, aberdeen city, united kingdom","136,921",136921
"basel, basel-city, switzerland","136,455",136455
"kanchipuram, tamil nadu, india","136,454",136454
"charlottesville, virginia, united states","135,851",135851
"berkeley, california, united states","135,826",135826
"tilburg, noord-brabant, netherlands","135,692",135692
"fontana, california, united states","135,362",135362
"bandung, west java, indonesia","134,686",134686
"port saint lucie, florida, united states","134,639",134639
"strasbourg, grand est, france","133,849",133849
"redding, california, united states","133,772",133772
"merida, yucatan, mexico","133,073",133073
"canberra, act, australia","133,059",133059
"moreno valley, california, united states","133,057",133057
"north las vegas, nevada, united states","133,007",133007
"south bend, indiana, united states","132,517",132517
"breda, noord-brabant, netherlands","131,657",131657
"leon, guanajuato, mexico","131,567",131567
"liège, wallonia, belgium","131,039",131039
"mesquite, texas, united states","130,658",130658
"woodbridge, virginia, united states","130,360",130360
"brasília, federal district, brazil","130,356",130356
"ventura, california, united states","129,910",129910
"niteroi, rio de janeiro, brazil","129,303",129303
"west yorkshire, kirklees, united kingdom","129,261",129261
"chihuahua, chihuahua, mexico","129,218",129218
"blumenau, santa catarina, brazil","129,065",129065
"duluth, minnesota, united states","129,024",129024
"greenville, north carolina, united states","128,834",128834
"germantown, maryland, united states","128,411",128411
"warren, michigan, united states","128,403",128403
"whittier, california, united states","128,207",128207
"maastricht, limburg, netherlands","128,021",128021
"norwich, norfolk, united kingdom","128,010",128010
"college station, texas, united states","127,970",127970
"bhopal, madhya pradesh, india","127,780",127780
"fort pierce, florida, united states","127,638",127638
"vila velha, espirito santo, brazil","127,521",127521
"rancho cucamonga, california, united states","127,463",127463
"oxnard, california, united states","127,175",127175
"columbia, maryland, united states","126,979",126979
"gaithersburg, maryland, united states","126,159",126159
"ogden, utah, united states","126,053",126053
"lawrence, kansas, united states","125,942",125942
"lafayette, indiana, united states","125,835",125835
"el cajon, california, united states","125,599",125599
"chelmsford, essex, united kingdom","125,350",125350
"maringá, parana, brazil","125,297",125297
"temple, texas, united states","125,198",125198
"johnson city, tennessee, united states","124,978",124978
"padova, veneto, italy","124,813",124813
"metz, lorraine, france","124,625",124625
"arvada, colorado, united states","124,436",124436
"liverpool, liverpool, united kingdom","124,208",124208
"grand junction, colorado, united states","123,772",123772
"derby, derby, united kingdom","123,755",123755
"costa mesa, california, united states","123,107",123107
"beaumont, texas, united states","123,015",123015
"escondido, california, united states","122,865",122865
"fullerton, california, united states","122,840",122840
"peoria, arizona, united states","122,770",122770
"frederick, maryland, united states","122,400",122400
"chico, california, united states","122,359",122359
"milton keynes, milton keynes, united kingdom","122,103",122103
"hampton, virginia, united states","122,099",122099
"ghaziabad, uttar pradesh, india","121,490",121490
"ontario, california, united states","120,884",120884
"olathe, kansas, united states","120,254",120254
"stone mountain, georgia, united states","120,041",120041
"coventry, coventry, united kingdom","119,866",119866
"longview, texas, united states","119,751",119751
"independence, missouri, united states","119,549",119549
"abilene, texas, united states","118,312",118312
"kent, washington, united states","118,121",118121
"yakima, washington, united states","118,095",118095
"medford, oregon, united states","118,070",118070
"cary, north carolina, united states","118,053",118053
"bari, apulia, italy","117,923",117923
"juiz de fora, minas gerais, brazil","117,514",117514
"zaragoza, aragon, spain","117,473",117473
"burlington, vermont, united states","117,468",117468
"queens, new york, united states","117,163",117163
"terre haute, indiana, united states","117,154",117154
"maceio, alagoas, brazil","117,090",117090
"north york, ontario, canada","116,872",116872
"vitória, espirito santo, brazil","116,624",116624
"norcross, georgia, united states","116,426",116426
"edmond, oklahoma, united states","116,055",116055
"palo alto, california, united states","115,755",115755
"temecula, california, united states","115,752",115752
"grand prairie, texas, united states","115,743",115743
"manchester, new hampshire, united states","115,662",115662
"sao jose do rio preto, sao paulo, brazil","115,565",115565
"albany, georgia, united states","115,490",115490
"leicester, leicestershire, united kingdom","115,478",115478
"santos, sao paulo, brazil","115,421",115421
"brownsville, texas, united states","115,414",115414
"i̇zmir, i̇zmir, turkey","115,305",115305
"santa fe, new mexico, united states","115,199",115199
"palmdale, california, united states","113,868",113868
"zwolle, overijssel, netherlands","113,835",113835
"concord, california, united states","113,790",113790
"shenzhen, guangdong, china","113,452",113452
"enfield, connecticut, united states","113,412",113412
"joliet, illinois, united states","113,102",113102
"brevard, florida, united states","112,902",112902
"rennes, bretagne, france","112,695",112695
"delray beach, florida, united states","112,510",112510
"santa monica, california, united states","112,198",112198
"dover, delaware, united states","112,175",112175
"oshkosh, wisconsin, united states","112,132",112132
"roseville, california, united states","112,064",112064
"muncie, indiana, united states","111,878",111878
"genoa, liguria, italy","111,110",111110
"kennesaw, georgia, united states","110,877",110877
"aracaju, sergipe, brazil","110,758",110758
"gloucester, gloucestershire, united kingdom","110,562",110562
"lawton, oklahoma, united states","110,382",110382
"missoula, montana, united states","110,306",110306
"guadalupe, nuevo leon, mexico","110,271",110271
"round rock, texas, united states","110,256",110256
"bend, oregon, united states","110,243",110243
"halifax, nova scotia, canada","109,987",109987
"carlsbad, california, united states","109,947",109947
"iowa city, iowa, united states","109,740",109740
"charleroi, hainaut, belgium","109,531",109531
"spartanburg, south carolina, united states","109,233",109233
"jacksonville, north carolina, united states","109,017",109017
"las cruces, new mexico, united states","108,997",108997
"elizabeth, new jersey, united states","108,805",108805
"toms river, new jersey, united states","108,683",108683
"sugar land, texas, united states","108,625",108625
"vigo, galicia, spain","108,454",108454
"norman, oklahoma, united states","108,385",108385
"victorville, california, united states","108,271",108271
"bowling green, kentucky, united states","108,207",108207
"jackson, tennessee, united states","107,862",107862
"milano, lombardy, italy","107,785",107785
"teresina, piauí, brazil","107,716",107716
"carson, california, united states","107,407",107407
"flagstaff, arizona, united states","107,273",107273
"elk grove, california, united states","107,068",107068
"hyattsville, maryland, united states","106,607",106607
"elkhart, indiana, united states","106,558",106558
"fort smith, arkansas, united states","106,493",106493
"annapolis, maryland, united states","106,155",106155
"grenoble, auvergne-rhône-alpes, france","105,606",105606
"vero beach, florida, united states","105,586",105586
"aurora, illinois, united states","105,556",105556
"nasik, maharashtra, india","105,231",105231
"odessa, texas, united states","105,118",105118
"ithaca, new york, united states","105,113",105113
"ernākulam, kerala, india","105,078",105078
"hamilton, ohio, united states","105,008",105008
"wichita falls, texas, united states","104,947",104947
"verona, veneto, italy","104,902",104902
"twickenham, richmond upon thames, united kingdom","104,749",104749
"humble, texas, united states","104,489",104489
"puyallup, washington, united states","104,478",104478
"renton, washington, united states","104,387",104387
"palermo, sicily, italy","104,287",104287
"new port richey, florida, united states","103,599",103599
"miami beach, florida, united states","103,578",103578
"schaumburg, illinois, united states","103,514",103514
"yuma, arizona, united states","103,129",103129
"bethesda, maryland, united states","103,109",103109
"bergamo, lombardy, italy","102,920",102920
"san angelo, texas, united states","102,729",102729
"branford, connecticut, united states","102,710",102710
"brampton, ontario, canada","102,666",102666
"fredericksburg, virginia, united states","102,613",102613
"cumming, georgia, united states","102,403",102403
"contagem, minas gerais, brazil","102,355",102355
"garden grove, california, united states","102,279",102279
"santiago, santiago metropolitan, chile","101,955",101955
"duluth, georgia, united states","101,933",101933
"bowie, maryland, united states","101,932",101932
"downey, california, united states","101,778",101778
"carrollton, texas, united states","101,583",101583
"simi valley, california, united states","101,534",101534
"conroe, texas, united states","101,508",101508
"roswell, georgia, united states","101,310",101310
"palm bay, florida, united states","100,642",100642
"lynchburg, virginia, united states","100,603",100603
"west chester, pennsylvania, united states","100,218",100218
"johor bahru, johor, malaysia","100,091",100091
"san luis obispo, california, united states","99,979",99979
"joplin, missouri, united states","98,761",98761
"patna, bihar, india","98,688",98688
"pasadena, texas, united states","98,659",98659
"scarborough, ontario, canada","98,648",98648
"florence, south carolina, united states","98,632",98632
"sioux city, iowa, united states","98,563",98563
"preston, lancashire, united kingdom","98,556",98556
"state college, pennsylvania, united states","98,374",98374
"largo, florida, united states","98,196",98196
"varese, lombardia, italy","97,902",97902
"new london, connecticut, united states","97,883",97883
"vallejo, california, united states","97,872",97872
"brescia, lombardia, italy","97,859",97859
"chester, cheshire west and chester, united kingdom","97,832",97832
"cheyenne, wyoming, united states","97,818",97818
"fairfield, california, united states","97,701",97701
"rapid city, south dakota, united states","97,385",97385
"mission viejo, california, united states","97,269",97269
"white plains, new york, united states","97,237",97237
"bethlehem, pennsylvania, united states","97,218",97218
"treviso, veneto, italy","97,169",97169
"newcastle, new south wales, australia","96,940",96940
"jackson, michigan, united states","96,795",96795
"southfield, michigan, united states","96,546",96546
"huntington, west virginia, united states","96,536",96536
"exeter, devon, united kingdom","96,488",96488
"lithonia, georgia, united states","96,461",96461
"troy, michigan, united states","96,257",96257
"east haven, connecticut, united states","96,050",96050
"milpitas, california, united states","95,902",95902
"tijuana, baja california, mexico","95,712",95712
"cincinnati, kentucky, united states","95,628",95628
"tonbridge, kent, united kingdom","95,559",95559
"bauru, sao paulo, brazil","95,508",95508
"cherry hill, new jersey, united states","95,493",95493
"spring hill, florida, united states","95,286",95286
"villahermosa, tabasco, mexico","94,992",94992
"santa cruz, california, united states","94,913",94913
"muskegon, michigan, united states","94,748",94748
"thiruvananthapuram, kerala, india","94,680",94680
"lowell, massachusetts, united states","94,597",94597
"jonesboro, arkansas, united states","94,052",94052
"champaign, illinois, united states","94,006",94006
"conyers, georgia, united states","93,901",93901
"sterling heights, michigan, united states","93,835",93835
"venice, veneto, italy","93,808",93808
"guntur, andhra pradesh, india","93,783",93783
"astoria, new york, united states","93,738",93738
"edison, new jersey, united states","93,729",93729
"piracicaba, sao paulo, brazil","93,708",93708
